number,value,duration,params_batch_size,params_clip_norm,params_latent_dim,params_lr,user_attrs_lr_alpha,user_attrs_lr_eff,user_attrs_lr_ref,state
0,1.4618372006172484,0 days 00:05:26.852383,32,1.7254716573280358,128,8.468008575248323e-05,0.5,5.987786286703925e-05,8.468008575248323e-05,COMPLETE
1,1.0486173767935145,0 days 00:05:21.700535,32,1.8276027831785728,128,1.1245798259119336e-05,0.5,7.951980208879155e-06,1.1245798259119336e-05,COMPLETE
2,1.6207195715470746,0 days 00:05:11.912109,128,0.1518747922672247,64,0.0003278187653397617,0.5,0.0004636057439438941,0.0003278187653397617,COMPLETE
3,1.6180797522718255,0 days 00:05:22.081164,128,0.1666698328606642,64,0.000319861718220356,0.5,0.0004523527799911889,0.000319861718220356,COMPLETE
4,1.143788800185377,0 days 00:05:14.918221,64,0.44079840381692426,64,2.0058733363444943e-05,0.5,2.0058733363444943e-05,2.0058733363444943e-05,COMPLETE
5,1.052843526005745,0 days 00:05:16.744980,32,1.0196967939171486,64,0.0025221951700214276,0.5,0.0017834613081981088,0.0025221951700214276,COMPLETE
6,1.2639562808654525,0 days 00:06:56.955212,32,0.22544116997360486,256,9.179114251639447e-05,0.5,6.490613932620334e-05,9.179114251639447e-05,COMPLETE
7,0.8915940693156286,0 days 00:05:26.420382,64,0.181357308677834,96,0.0008183591298101358,0.5,0.0008183591298101358,0.0008183591298101358,COMPLETE
8,0.8008696071126243,0 days 00:06:06.560142,32,0.6470376604234769,192,0.0013740794394697655,0.5,0.0009716208895380814,0.0013740794394697655,COMPLETE
9,0.6217688918113708,0 days 00:00:53.993644,128,0.8471354625326557,96,1.9781054912383735e-05,0.5,2.7974636135140014e-05,1.9781054912383735e-05,PRUNED
10,1.1515980576419016,0 days 00:06:01.434171,32,0.39292526841382724,192,0.0026581558826600875,0.5,0.0018796000500798608,0.0026581558826600875,COMPLETE
11,0.9071385049684481,0 days 00:05:21.354287,64,0.2801444283492551,96,0.0008339866662020043,0.5,0.0008339866662020043,0.0008339866662020043,COMPLETE
12,0.7952979255298323,0 days 00:06:05.302108,64,0.1040263412882208,192,0.000873264067331039,0.5,0.000873264067331039,0.000873264067331039,COMPLETE
13,0.7936888274144043,0 days 00:06:09.410346,64,0.736063813394258,192,0.0009493269500878824,0.5,0.0009493269500878824,0.0009493269500878824,COMPLETE
14,0.8069394148208878,0 days 00:06:08.107911,64,0.10675917906657333,192,0.0003192045481650781,0.5,0.0003192045481650781,0.0003192045481650781,COMPLETE
15,0.7431575126607309,0 days 00:06:09.944073,64,1.1270284683015843,192,0.0008425441225308268,0.5,0.0008425441225308268,0.0008425441225308268,COMPLETE
16,0.07155753672122955,0 days 00:01:00.667558,64,1.1425457227858467,192,0.00011580529974077867,0.5,0.00011580529974077867,0.00011580529974077867,PRUNED
17,0.6581826044246554,0 days 00:06:57.430714,64,0.674336180664938,256,0.0004633576042548562,0.5,0.0004633576042548562,0.0004633576042548562,COMPLETE
18,0.6583680331537668,0 days 00:06:54.158343,64,1.332650639487812,256,0.00047748507651989625,0.5,0.00047748507651989625,0.00047748507651989625,COMPLETE
19,0.7994841064241799,0 days 00:06:56.295754,64,0.57526694689779,256,0.00020860514991068123,0.5,0.00020860514991068123,0.00020860514991068123,COMPLETE
20,0.6576009274714373,0 days 00:06:57.835863,64,1.460035586837448,256,0.0004959476665921214,0.5,0.0004959476665921214,0.0004959476665921214,COMPLETE
21,0.6586874008686705,0 days 00:06:58.919451,64,1.4411947601070252,256,0.0005102570524628178,0.5,0.0005102570524628178,0.0005102570524628178,COMPLETE
22,0.03640521317720413,0 days 00:01:09.137009,64,1.3587893680612262,256,0.00021068202329269236,0.5,0.00021068202329269236,0.00021068202329269236,PRUNED
23,0.6578090344301678,0 days 00:07:01.252869,64,0.8698645886602424,256,0.00045816469972127604,0.5,0.00045816469972127604,0.00045816469972127604,COMPLETE
24,0.03858358412981033,0 days 00:01:09.490997,64,0.8184052907807193,256,0.0015235243646083286,0.5,0.0015235243646083286,0.0015235243646083286,PRUNED
25,0.06957582384347916,0 days 00:01:09.000054,128,0.5824635305490076,256,5.850141679892666e-05,0.5,8.27334970550833e-05,5.850141679892666e-05,PRUNED
26,0.6584439476613294,0 days 00:06:56.448733,64,0.3407418907119323,256,0.0005447318328537187,0.5,0.0005447318328537187,0.0005447318328537187,COMPLETE
27,0.040709249675273895,0 days 00:01:10.240006,64,0.9101966799044091,256,0.0001726821419857841,0.5,0.0001726821419857841,0.0001726821419857841,PRUNED
28,0.038159772753715515,0 days 00:01:10.385329,64,0.5191200686116881,256,0.0014641248825278514,0.5,0.0014641248825278514,0.0014641248825278514,PRUNED
29,0.24834726750850677,0 days 00:00:59.802977,128,1.9255639543720273,128,5.325561674965218e-05,0.5,7.531481547990189e-05,5.325561674965218e-05,PRUNED
