number, value              , duration              , params_batch_size, params_clip_norm   , params_latent_dim, params_lr             , user_attrs_failed_reason                                                , user_attrs_lr_alpha, user_attrs_lr_eff     , user_attrs_lr_ref     , state
     0, 0.41655033826828003, 0 days 00:30:58.314888,                32, 1.7254716573280358 ,               128, 8.468008575248323e-05 , ValueError: The value of val_fr_phase_loss_45 cannot be None or infinite,                 0.5, 5.987786286703925e-05 , 8.468008575248323e-05 , PRUNED
     1, 0.6880902647972107 , 0 days 00:30:47.708307,                32, 1.8276027831785728 ,               128, 1.1245798259119336e-05, ValueError: The value of val_fr_phase_loss_45 cannot be None or infinite,                 0.5, 7.951980208879155e-06 , 1.1245798259119336e-05, PRUNED
     2, 0.4418414831161499 , 0 days 00:30:17.902735,               128, 0.1518747922672247 ,                64, 0.0003278187653397617 , ValueError: The value of val_fr_phase_loss_45 cannot be None or infinite,                 0.5, 0.0004636057439438941 , 0.0003278187653397617 , PRUNED
     3, 0.44270285964012146, 0 days 00:30:35.754606,               128, 0.1666698328606642 ,                64, 0.000319861718220356  , ValueError: The value of val_fr_phase_loss_45 cannot be None or infinite,                 0.5, 0.0004523527799911889 , 0.000319861718220356  , PRUNED
     4, 0.6861593127250671 , 0 days 00:30:22.096164,                64, 0.44079840381692426,                64, 2.0058733363444943e-05, ValueError: The value of val_fr_phase_loss_45 cannot be None or infinite,                 0.5, 2.0058733363444943e-05, 2.0058733363444943e-05, PRUNED
     5, 0.32179851712038116, 0 days 00:30:02.778700,                32, 1.0196967939171486 ,                64, 0.0025221951700214276 ,                                                                         ,                 0.5, 0.0017834613081981088 , 0.0025221951700214276 , COMPLETE
     6, 0.36408426289757084, 0 days 00:31:19.560369,                32, 0.22544116997360486,               256, 9.179114251639447e-05 ,                                                                         ,                 0.5, 6.490613932620334e-05 , 9.179114251639447e-05 , COMPLETE
     7, 0.362563766973714  , 0 days 00:30:34.260292,                64, 0.181357308677834  ,                96, 0.0008183591298101358 ,                                                                         ,                 0.5, 0.0008183591298101358 , 0.0008183591298101358 , COMPLETE
     8, 0.2811476302643617 , 0 days 00:31:07.305516,                32, 0.6470376604234769 ,               192, 0.0013740794394697655 ,                                                                         ,                 0.5, 0.0009716208895380814 , 0.0013740794394697655 , COMPLETE
     9, 0.5743124241630236 , 0 days 00:30:26.698668,               128, 0.8471354625326557 ,                96, 1.9781054912383735e-05,                                                                         ,                 0.5, 2.7974636135140014e-05, 1.9781054912383735e-05, COMPLETE
    10, 0.4429987967014313 , 0 days 00:06:14.279368,                32, 0.39292526841382724,               192, 0.0026581558826600875 ,                                                                         ,                 0.5, 0.0018796000500798608 , 0.0026581558826600875 , PRUNED
    11, 0.4856758415699005 , 0 days 00:06:15.753002,                32, 0.8726210687364991 ,               192, 0.0028446152330877583 ,                                                                         ,                 0.5, 0.0020114467211829056 , 0.0028446152330877583 , PRUNED
    12, 0.26799906476711227, 0 days 00:31:04.631601,                32, 0.815716833988456  ,               192, 0.0009942256256971376 ,                                                                         ,                 0.5, 0.0007030236819598843 , 0.0009942256256971376 , COMPLETE
    13, 0.26943873058383666, 0 days 00:31:04.588493,                32, 0.5779685713065355 ,               192, 0.0009493269500878824 ,                                                                         ,                 0.5, 0.0006712755239702848 , 0.0009493269500878824 , COMPLETE
    14, 0.3100748238464196 , 0 days 00:30:54.466859,                32, 0.29877493725320664,               192, 0.0006905388375162533 ,                                                                         ,                 0.5, 0.0004882846946804182 , 0.0006905388375162533 , COMPLETE
    15, 0.3228899023185174 , 0 days 00:31:03.417441,                64, 0.10821953630207753,               192, 0.00041454149317202534,                                                                         ,                 0.5, 0.00041454149317202534, 0.00041454149317202534, COMPLETE
    16, 0.18711134791374207, 0 days 00:06:19.298997,                32, 0.6151704448001067 ,               256, 0.0010228063924485576 ,                                                                         ,                 0.5, 0.0007232333359413243 , 0.0010228063924485576 , PRUNED
    17, 0.36847497144093116, 0 days 00:31:05.356401,                32, 1.170323598975338  ,               192, 0.0001497991327800731 ,                                                                         ,                 0.5, 0.00010592398260465373, 0.0001497991327800731 , COMPLETE
    18, 0.3548109829425812 , 0 days 00:06:17.748984,                64, 0.5935594867231789 ,               192, 0.0014778341033489005 ,                                                                         ,                 0.5, 0.0014778341033489005 , 0.0014778341033489005 , PRUNED
    19, 0.1700718104839325 , 0 days 00:06:18.384505,               128, 0.3250019760094881 ,               192, 0.0005351374965110351 ,                                                                         ,                 0.5, 0.0007567987053002907 , 0.0005351374965110351 , PRUNED
