number,value,duration,params_batch_size,params_clip_norm,params_latent_dim,params_lr,user_attrs_lr_alpha,user_attrs_lr_eff,user_attrs_lr_ref,state
0,0.32533775116316976,0 days 00:53:18.218867,32,1.7254716573280358,128,8.468008575248323e-05,0.5,5.987786286703925e-05,8.468008575248323e-05,COMPLETE
1,0.546905748049418,0 days 00:44:32.782923,32,1.8276027831785728,128,1.1245798259119336e-05,0.5,7.951980208879155e-06,1.1245798259119336e-05,COMPLETE
2,0.306085315781335,0 days 00:44:33.014071,128,0.1518747922672247,64,0.0003278187653397617,0.5,0.0004636057439438941,0.0003278187653397617,COMPLETE
3,0.3080118766520172,0 days 00:44:38.926397,128,0.1666698328606642,64,0.000319861718220356,0.5,0.0004523527799911889,0.000319861718220356,COMPLETE
4,0.5808825075626373,0 days 00:43:51.051693,64,0.44079840381692426,64,2.0058733363444943e-05,0.5,2.0058733363444943e-05,2.0058733363444943e-05,COMPLETE
5,0.188233882188797,0 days 00:01:48.725027,32,1.0196967939171486,64,0.0025221951700214276,0.5,0.0017834613081981088,0.0025221951700214276,PRUNED
6,0.25861300168714174,0 days 00:43:37.269167,32,0.22544116997360486,256,9.179114251639447e-05,0.5,6.490613932620334e-05,9.179114251639447e-05,COMPLETE
7,0.14919538795948029,0 days 00:01:53.144266,64,0.181357308677834,96,0.0008183591298101358,0.5,0.0008183591298101358,0.0008183591298101358,PRUNED
8,0.1734416924106578,0 days 00:42:42.899036,32,0.6470376604234769,192,0.0013740794394697655,0.5,0.0009716208895380814,0.0013740794394697655,COMPLETE
9,0.5326541066169739,0 days 00:01:18.904491,128,0.8471354625326557,96,1.9781054912383735e-05,0.5,2.7974636135140014e-05,1.9781054912383735e-05,PRUNED
10,0.2087259441614151,0 days 00:01:13.027364,32,0.39292526841382724,192,0.0026581558826600854,0.5,0.0018796000500798592,0.0026581558826600854,PRUNED
11,0.2625619146740064,0 days 00:43:51.296914,32,0.2801444283492551,256,8.378823732990561e-05,0.5,5.924723079964408e-05,8.378823732990561e-05,COMPLETE
12,0.2581121675204485,0 days 00:44:23.921990,32,0.1040263412882208,256,9.665656288360608e-05,0.5,6.834651106118182e-05,9.665656288360608e-05,COMPLETE
13,0.17218732046894727,0 days 00:42:47.174062,32,0.736063813394258,192,0.0008552043350986717,0.5,0.0006047207846484033,0.0008552043350986717,COMPLETE
14,0.17212719271580376,0 days 00:42:33.394949,32,0.7572604204876624,192,0.0011714750602369011,0.5,0.000828357959084432,0.0011714750602369011,COMPLETE
15,0.17225009333342314,0 days 00:44:02.708760,64,1.157422922150968,192,0.0007283179787184321,0.5,0.0007283179787184321,0.0007283179787184321,COMPLETE
16,0.23646680318439997,0 days 00:43:40.162918,32,0.5669756705510426,192,0.0003587134658322056,0.5,0.0002536487241928815,0.0003587134658322056,COMPLETE
17,0.17194377786169446,0 days 00:42:49.068465,32,0.7240909531615061,192,0.0012534646769701233,0.5,0.0008863333730633796,0.0012534646769701233,COMPLETE
18,0.17269182205200195,0 days 00:01:19.220562,64,1.3683735851419265,192,0.0014117618656166004,0.5,0.0014117618656166004,0.0014117618656166004,PRUNED
19,0.22881527425100406,0 days 00:44:00.802844,128,0.34622663667093345,192,0.00022523328670901027,0.5,0.0003185279687617501,0.00022523328670901027,COMPLETE
20,0.20762533840412895,0 days 00:43:40.396337,32,0.59425171859976,192,0.0005881959735492089,0.5,0.0004159173615632688,0.0005881959735492089,COMPLETE
21,0.17249672695373494,0 days 00:43:39.122703,32,0.7935905669007637,192,0.0010779900822786095,0.5,0.0007622540972310491,0.0010779900822786095,COMPLETE
22,0.1825801432132721,0 days 00:01:12.483875,32,0.818676372471157,192,0.002101128799154192,0.5,0.0014857224220282766,0.002101128799154192,PRUNED
23,0.2039787593608101,0 days 00:42:35.229673,32,0.5577210023684684,192,0.0006132602345460235,0.5,0.00043364047047954584,0.0006132602345460235,COMPLETE
24,0.1511584371328354,0 days 00:01:21.384563,32,1.2239278316410014,96,0.0016735777653124212,0.5,0.0011833981866954414,0.0016735777653124212,PRUNED
25,0.2612177821652343,0 days 00:43:55.668682,32,0.706624585101408,128,0.0004397308125138764,0.5,0.0003109366394252324,0.0004397308125138764,COMPLETE
26,0.17230100147426128,0 days 00:42:53.115139,32,0.9261678698913856,192,0.001113041363356545,0.5,0.0007870390957705331,0.001113041363356545,COMPLETE
27,,,32,1.42400939039709,192,0.00017664988867364484,0.5,0.00012491033417698298,0.00017664988867364484,RUNNING
